"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"27-Jul-2020","    22664.60","    22668.05","    21801.35","    21848.75","      340888880","         9407.53"
"28-Jul-2020","    21940.15","    22233.00","    21611.40","    22105.20","      379785455","        11478.58"
"29-Jul-2020","    22075.00","    22346.40","    21906.35","    22076.60","      400357048","        10163.56"
"30-Jul-2020","    22195.05","    22252.60","    21580.15","    21646.85","      299568955","         7662.27"
"31-Jul-2020","    21730.55","    21806.95","    21375.00","    21640.05","      397341689","         9345.20"
"03-Aug-2020","    21543.80","    21543.80","    21031.45","    21072.10","      431029295","        11151.87"
"04-Aug-2020","    21248.25","    21576.35","    21057.75","    21490.50","      297019822","         9152.34"
"05-Aug-2020","    21686.85","    21936.50","    21448.40","    21509.95","      338829581","         8818.01"
"06-Aug-2020","    21644.25","    21926.55","    21370.30","    21642.60","      386597915","         9575.39"
"07-Aug-2020","    21620.25","    21787.25","    21451.30","    21754.00","      378616471","         7686.14"
"10-Aug-2020","    21824.90","    22071.95","    21795.10","    21900.25","      261796164","         5943.76"
"11-Aug-2020","    22050.20","    22277.60","    22039.85","    22227.20","      377912975","         8137.50"
"12-Aug-2020","    22135.95","    22326.55","    21990.20","    22264.00","      507472323","         9323.94"
"13-Aug-2020","    22395.20","    22439.95","    22139.60","    22196.35","      289096635","         6479.17"
"14-Aug-2020","    22334.95","    22334.95","    21459.10","    21679.40","      318837489","         7137.99"
"17-Aug-2020","    21906.95","    21909.40","    21403.15","    21700.85","      263359893","         6133.05"
"18-Aug-2020","    21702.00","    22227.75","    21629.40","    22170.60","      311809274","         6815.59"
"19-Aug-2020","    22315.40","    22419.35","    22234.25","    22285.90","      348005901","         6826.17"
"20-Aug-2020","    21989.90","    22079.90","    21886.70","    21999.45","      314838525","         7200.49"
"21-Aug-2020","    22190.70","    22344.05","    22165.05","    22299.60","      347083160","         7452.15"
"24-Aug-2020","    22436.85","    22897.50","    22410.05","    22833.00","      346273118","         8022.91"
"25-Aug-2020","    22973.40","    23180.30","    22857.90","    23092.15","      422190044","        10281.89"
"26-Aug-2020","    23175.55","    23453.40","    23093.15","    23414.20","      337920632","         9538.81"
"27-Aug-2020","    23511.45","    23704.05","    23464.15","    23600.35","      430926732","        11647.67"
"28-Aug-2020","    23635.30","    24611.80","    23599.20","    24523.80","      812646625","        19923.72"
"31-Aug-2020","    25038.80","    25232.60","    23385.30","    23754.35","      712975732","        18730.27"
"01-Sep-2020","    23893.80","    24199.65","    23473.15","    23812.00","      484334092","        11653.99"
"02-Sep-2020","    23769.00","    23926.15","    23482.55","    23874.55","      293508250","         7341.21"
"03-Sep-2020","    23986.15","    24051.60","    23451.65","    23530.85","      214818095","         5849.15"
"04-Sep-2020","    23119.15","    23394.80","    22876.90","    23011.50","      341042607","         8634.33"
"07-Sep-2020","    23036.25","    23109.10","    22716.25","    22945.05","      245264124","         5986.14"
"08-Sep-2020","    22971.20","    23064.15","    22641.40","    22744.40","      231451727","         5907.64"
"09-Sep-2020","    22486.70","    22554.60","    22080.40","    22267.00","      305088443","         7212.74"
"10-Sep-2020","    22466.55","    22678.65","    22225.25","    22466.20","      278551123","         7079.21"
"11-Sep-2020","    22509.95","    22668.75","    22205.95","    22479.95","      214789265","         5767.58"
"14-Sep-2020","    22683.35","    22757.30","    22028.15","    22101.25","      265397711","         6512.78"
"15-Sep-2020","    22202.80","    22514.15","    22062.35","    22465.65","      248826760","         6131.93"
"16-Sep-2020","    22476.30","    22659.40","    22216.50","    22573.55","      245862302","         6180.56"
"17-Sep-2020","    22352.00","    22504.45","    22267.05","    22320.35","      216408615","         5116.72"
"18-Sep-2020","    22439.35","    22469.40","    21784.90","    22031.05","      320585881","         8691.08"
"21-Sep-2020","    21983.40","    22098.85","    21274.30","    21366.80","      283525089","         6846.44"
"22-Sep-2020","    21445.25","    21473.35","    20958.45","    21139.10","      325400312","         7324.61"
"23-Sep-2020","    21350.80","    21365.05","    20821.00","    21178.50","      299197195","         5766.31"
"24-Sep-2020","    20898.80","    20955.60","    20404.90","    20456.85","      276420580","         6218.63"
"25-Sep-2020","    20740.80","    21064.30","    20430.70","    20982.35","      280646576","         5902.57"
"28-Sep-2020","    21152.05","    21708.85","    21055.10","    21665.50","      240223120","         5550.96"
"29-Sep-2020","    21770.90","    21811.50","    21280.60","    21411.30","      242993739","         5129.99"
"30-Sep-2020","    21405.25","    21549.35","    21128.50","    21451.80","      240051659","         5310.13"
"01-Oct-2020","    21685.25","    22293.75","    21664.15","    22246.00","      348728050","         8207.06"
"05-Oct-2020","    22352.10","    22768.55","    22247.25","    22370.95","      325414639","         8208.78"
"06-Oct-2020","    22673.05","    22893.50","    22521.05","    22853.70","      247980470","         6221.25"
"07-Oct-2020","    22836.95","    23036.20","    22607.80","    22964.80","      236098777","         6222.31"
"08-Oct-2020","    23150.25","    23450.90","    23063.60","    23191.35","      280136398","         7944.80"
"09-Oct-2020","    23312.60","    23904.10","    23132.45","    23846.80","      350978943","        10261.14"
"12-Oct-2020","    23955.60","    24190.35","    23552.60","    23712.80","      280694619","         6988.65"
"13-Oct-2020","    23663.05","    23775.15","    23431.50","    23492.20","      190829083","         5350.73"
"14-Oct-2020","    23353.15","    23962.70","    23149.45","    23874.65","      225363576","         5907.41"
"15-Oct-2020","    23920.35","    24087.85","    22970.95","    23072.40","      270328079","         7770.96"
"16-Oct-2020","    23219.85","    23646.20","    23148.95","    23533.25","      229438006","         5931.29"
"19-Oct-2020","    23902.90","    24320.95","    23754.85","    24266.75","      388154335","         9824.72"
"20-Oct-2020","    24117.35","    24410.90","    24039.85","    24311.80","      254147636","         6616.57"
"21-Oct-2020","    24444.20","    24823.60","    24099.85","    24635.05","      335657280","        10064.33"
"22-Oct-2020","    24447.35","    24691.15","    24250.20","    24484.15","      241407252","         7287.40"
"23-Oct-2020","    24669.20","    24764.15","    24360.85","    24478.30","      196845852","         5406.45"
"26-Oct-2020","    24525.80","    24577.30","    23867.75","    24075.45","      260452297","         6949.90"
"27-Oct-2020","    24288.05","    24809.65","    23924.20","    24769.50","      299009849","        11790.32"
"28-Oct-2020","    24737.85","    24780.70","    24057.95","    24232.50","      272722955","         7509.50"
"29-Oct-2020","    24063.50","    24339.10","    23822.05","    24092.00","      340550442","         9542.81"
"30-Oct-2020","    24090.15","    24277.35","    23612.70","    23900.90","      271824691","         6308.52"
"02-Nov-2020","    24367.60","    25139.00","    24120.60","    24892.50","      437217701","        11765.16"
"03-Nov-2020","    25108.00","    25760.70","    25085.70","    25682.80","      407591534","        10859.93"
"04-Nov-2020","    25539.55","    25891.00","    25142.00","    25771.60","      409247572","        11400.19"
"05-Nov-2020","    26174.80","    26375.20","    26000.05","    26313.10","      385307914","        10710.40"
"06-Nov-2020","    26274.10","    26853.45","    26135.30","    26798.95","      357689528","        11267.81"
"09-Nov-2020","    27088.95","    27595.00","    27068.95","    27534.10","      365124397","        11074.82"
"10-Nov-2020","    28039.45","    28802.50","    27916.90","    28606.00","      595796701","        19532.63"
"11-Nov-2020","    28713.15","    29030.90","    28211.10","    28845.00","      497507807","        18059.30"
"12-Nov-2020","    28633.75","    28672.90","    28066.05","    28278.80","      308960319","        11278.51"
"13-Nov-2020","    28108.70","    28520.55","    27703.30","    28465.70","      330891449","        10723.25"
"14-Nov-2020","    28685.70","    28752.45","    28431.85","    28594.30","       43672347","         1154.51"
"17-Nov-2020","    28792.25","    29239.25","    28722.90","    29181.30","      317307486","        10924.63"
"18-Nov-2020","    29107.90","    29784.75","    29056.75","    29749.85","      487620929","        12538.44"
"19-Nov-2020","    29302.60","    29627.20","    28819.55","    28903.05","      358602987","        12189.20"
"20-Nov-2020","    28935.75","    29406.70","    28580.90","    29236.00","      320010076","        11614.19"
"23-Nov-2020","    29432.80","    29492.30","    28852.90","    29024.20","      395630008","        12745.71"
"24-Nov-2020","    29265.60","    29827.80","    29206.75","    29737.25","      348058801","        12279.24"
"25-Nov-2020","    30021.90","    30197.85","    29132.30","    29196.40","      546078327","        13653.17"
"26-Nov-2020","    29370.40","    29623.00","    28923.10","    29549.75","      369368245","        11338.89"
"27-Nov-2020","    29622.00","    29716.85","    29368.70","    29609.05","      494394896","        24378.12"
"01-Dec-2020","    29844.80","    29919.75","    29511.00","    29817.85","      325606521","         8780.83"
"02-Dec-2020","    29876.70","    29886.25","    29149.90","    29463.15","      374276909","         9206.91"
"03-Dec-2020","    29728.90","    29813.00","    29379.40","    29448.75","      419239179","        10366.32"
"04-Dec-2020","    29573.40","    30162.30","    29473.50","    30052.40","      466911596","        11145.32"
"07-Dec-2020","    30062.60","    30354.20","    29950.60","    30211.55","      431765351","        12039.30"
"08-Dec-2020","    30300.30","    30363.80","    30025.20","    30261.90","      586847601","        10141.82"
"09-Dec-2020","    30335.05","    30807.25","    30326.70","    30709.40","      542515807","         9755.38"
"10-Dec-2020","    30545.35","    30610.00","    30202.10","    30510.35","      335772472","         8165.97"
"11-Dec-2020","    30555.30","    30811.80","    30328.45","    30604.85","      409937035","         9588.80"
"14-Dec-2020","    30735.15","    30845.80","    30624.25","    30745.90","      269034727","         7156.20"
"15-Dec-2020","    30805.40","    30805.85","    30345.75","    30691.05","      279367757","         8180.08"
"16-Dec-2020","    30920.35","    30932.25","    30587.10","    30698.40","      380587654","         6817.74"
"17-Dec-2020","    30791.20","    30945.20","    30643.90","    30847.05","      260660598","         7563.24"
"18-Dec-2020","    30841.85","    30854.05","    30374.50","    30714.65","      278144935","         8187.34"
"21-Dec-2020","    30595.80","    30607.50","    29201.20","    29456.45","      390941877","        10052.59"
"22-Dec-2020","    29607.50","    29711.15","    28976.75","    29625.95","      464415052","        10784.06"
"23-Dec-2020","    29560.75","    29941.40","    29446.00","    29883.30","      379383537","         6857.33"
"24-Dec-2020","    30071.65","    30545.85","    30007.80","    30402.20","      300013358","         6589.67"
"28-Dec-2020","    30558.85","    30929.05","    30538.15","    30880.95","      317207023","         5536.43"
"29-Dec-2020","    31006.90","    31359.35","    31002.60","    31322.50","      389215378","         8558.46"
"30-Dec-2020","    31479.80","    31510.25","    31007.15","    31303.05","      267799744","         6588.98"
"31-Dec-2020","    31295.90","    31409.50","    31088.10","    31264.05","      364121772","         7398.90"
"01-Jan-2021","    31297.30","    31384.35","    31188.25","    31225.85","      362816824","         4578.68"
"04-Jan-2021","    31485.15","    31489.60","    30893.65","    31212.45","      455777638","         7332.25"
"05-Jan-2021","    31041.10","    31767.65","    30935.55","    31722.25","      427039458","         9737.71"
