Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2009-06-30,7538.65,7577.6,7303.35,7338.85,31059480,1963.87,-2.7224973940058628
2009-07-01,7325.1,7484.25,7270.3,7452.6,26227693,1676.14,1.7108123339505676
2009-07-02,7466.6,7468.7,7285.85,7397.95,26865306,1479.49,-0.9279597726397252
2009-07-03,7344.55,7586.7,7318.45,7566.05,21887127,1497.14,2.927551364318237
2009-07-06,7566.05,7711.4,6859.9,6946.45,40672621,2590.54,-8.919664001036507
2009-07-07,7007.2,7087.45,6873.75,6952.6,33359572,2172.57,-0.785317722866258
2009-07-08,6870.25,6870.25,6619.3,6661.75,35163770,2112.66,-3.1298082335722595
2009-07-09,6654.7,6747.8,6542.4,6672.75,28975184,1783.22,0.2705031658611544
2009-07-10,6673.95,6761.3,6469.0,6520.6,23042659,1399.14,-2.3517774437935075
2009-07-13,6456.9,6565.4,6393.5,6531.3,25746500,1587.1,1.1391300353681586
2009-07-14,6649.5,6787.15,6649.5,6756.4,28097234,1766.32,1.582203540346925
2009-07-15,6827.75,6979.3,6736.55,6938.7,39429005,1919.45,1.599002695029326
2009-07-16,7028.5,7066.1,6859.3,6912.4,29226991,1544.4,-1.6795903014871878
2009-07-17,6897.2,7253.3,6897.2,7231.05,31608694,1852.68,4.6168951950270065
2009-07-20,7273.95,7546.35,7239.4,7530.2,34644335,1967.64,3.402964064699477
2009-07-21,7547.5,7547.5,7385.55,7430.4,29709792,1774.99,-1.5759582256675329
2009-07-22,7464.9,7614.75,7289.85,7329.55,34304811,2074.07,-1.8466345137150226
2009-07-23,7421.35,7513.75,7369.3,7473.5,29776030,1894.95,0.6977988894092412
2009-07-24,7536.85,7552.6,7351.3,7385.55,27779073,1801.96,-2.0485948913757293
2009-07-27,7441.6,7485.75,7343.4,7398.65,29214307,1952.11,-0.5805113094956611
2009-07-28,7419.3,7430.2,7261.3,7312.55,33261582,2110.21,-1.4598190781601492
2009-07-29,7225.05,7288.3,7092.05,7224.2,30715165,1898.29,-0.011766008693009106
2009-07-30,7208.0,7428.55,7178.25,7389.7,32523688,2278.09,2.4588278279226468
2009-07-31,7472.05,7611.7,7472.05,7544.5,28768062,2134.76,0.9603022069056906
2009-08-03,7564.05,7674.8,7514.7,7650.1,19012695,1278.78,1.1248218977529727
2009-08-04,7656.65,7720.35,7571.9,7617.8,25518946,1802.99,-0.5099897608233276
2009-08-05,7642.0,7656.2,7516.0,7607.5,23890621,1768.79,-0.4534998356884653
2009-08-06,7596.4,7690.95,7445.35,7471.8,34339313,2582.09,-1.66760352257822
2009-08-07,7394.7,7461.45,7226.7,7249.5,27512206,1739.18,-2.002896751500101
2009-08-10,7363.6,7387.65,7126.85,7160.0,31272433,2042.46,-2.8435754189944187
2009-08-11,7161.25,7290.35,7129.0,7218.25,24266495,1668.86,0.7896650850275343
2009-08-12,7144.05,7198.8,6988.55,7172.05,21494672,1466.69,0.3904044171471197
2009-08-13,7293.4,7489.25,7293.4,7472.4,24983123,1541.55,2.3954820405759865
2009-08-14,7502.95,7502.95,7373.35,7418.95,18735387,1155.89,-1.1322356937302447
2009-08-17,7311.9,7311.9,7085.25,7104.85,19088700,1325.73,-2.9142064927479012
2009-08-18,7111.2,7291.9,7098.65,7207.25,18545075,1348.02,1.3326858371778443
2009-08-19,7214.8,7241.4,6998.8,7106.7,19197823,1343.0,-1.521099807224174
2009-08-20,7168.55,7308.65,7168.55,7261.2,16300870,1037.63,1.2759598964358458
2009-08-21,7249.8,7404.7,7145.85,7377.1,22618245,1615.92,1.7256103346843636
2009-08-24,7472.6,7536.1,7472.6,7507.4,17180436,1198.11,0.46354263793056555
2009-08-25,7506.95,7506.95,7366.0,7424.5,15963210,1233.61,-1.11051249242373
2009-08-26,7466.25,7489.45,7385.5,7418.35,13818640,1039.21,-0.6456961453692484
2009-08-27,7395.5,7438.05,7366.85,7385.65,22884652,1327.39,-0.13336673143190328
2009-08-28,7407.55,7520.35,7377.9,7482.4,19671252,1151.89,1.0003474820913005
2009-08-31,7382.0,7470.6,7377.3,7431.65,22341479,1112.7,0.6680885133180335
2009-09-01,7459.6,7577.4,7343.0,7377.2,20911220,1188.21,-1.1169549422545213
2009-09-02,7326.9,7395.65,7292.7,7339.55,14747716,842.65,0.17235389090612566
2009-09-03,7358.0,7423.4,7324.7,7351.0,15077766,932.69,-0.09522513943681131
2009-09-04,7382.35,7468.45,7346.3,7444.15,20111342,954.35,0.8301820892915818
2009-09-07,7503.15,7662.75,7495.4,7650.65,25123596,1374.76,1.9279407632031267
2009-09-08,7692.2,7775.1,7655.4,7717.9,25927841,1924.95,0.3329921351662994
2009-09-09,7694.65,7790.55,7688.75,7776.2,22930221,1336.85,1.0487127388698874
